"","BLDG001.X","BLDG001.Building","BLDG001.IntervalStart","BLDG001.Precipitation","BLDG001.CloudCover","BLDG001.Humidity","BLDG001.DewPoint","BLDG001.Temperature","BLDG001.Gas.Pump.1","BLDG001.Gas.Pump.2","BLDG001.Gas.Pump.3","BLDG001.HVAC.1","BLDG001.HVAC.1.Duct.Temp","BLDG001.HVAC.1.Runtime","BLDG001.HVAC.1.Runtime.Cool.Stage.1","BLDG001.HVAC.1.Runtime.Cool.Stage.2","BLDG001.HVAC.1.Runtime.Heat.Stage.1","BLDG001.HVAC.1.Runtime.Heat.Stage.2","BLDG001.HVAC.1.Zone.Temp","BLDG001.HVAC.2","BLDG001.HVAC.2.Duct.Temp","BLDG001.HVAC.2.Runtime","BLDG001.HVAC.2.Runtime.Cool.Stage.1","BLDG001.HVAC.2.Runtime.Cool.Stage.2","BLDG001.HVAC.2.Runtime.Heat.Stage.1","BLDG001.HVAC.2.Runtime.Heat.Stage.2","BLDG001.HVAC.2.Zone.Temp","BLDG001.HVAC.3","BLDG001.HVAC.3.Duct.Temp","BLDG001.HVAC.3.Runtime","BLDG001.HVAC.3.Runtime.Cool.Stage.1","BLDG001.HVAC.3.Runtime.Cool.Stage.2","BLDG001.HVAC.3.Runtime.Heat.Stage.1","BLDG001.HVAC.3.Runtime.Heat.Stage.2","BLDG001.HVAC.3.Zone.Temp","BLDG001.HVAC.4","BLDG001.HVAC.4.Duct.Temp","BLDG001.HVAC.4.Runtime","BLDG001.HVAC.4.Runtime.Cool.Stage.1","BLDG001.HVAC.4.Runtime.Cool.Stage.2","BLDG001.HVAC.4.Runtime.Heat.Stage.1","BLDG001.HVAC.4.Runtime.Heat.Stage.2","BLDG001.HVAC.4.Zone.Temp","BLDG001.HVAC.5","BLDG001.HVAC.5.Duct.Temp","BLDG001.HVAC.5.Runtime","BLDG001.HVAC.5.Runtime.Cool.Stage.1","BLDG001.HVAC.5.Runtime.Cool.Stage.2","BLDG001.HVAC.5.Runtime.Heat.Stage.1","BLDG001.HVAC.5.Runtime.Heat.Stage.2","BLDG001.HVAC.5.Zone.Temp","BLDG001.HVAC.6","BLDG001.HVAC.6.Duct.Temp","BLDG001.HVAC.6.Runtime","BLDG001.HVAC.6.Runtime.Cool.Stage.1","BLDG001.HVAC.6.Runtime.Cool.Stage.2","BLDG001.HVAC.6.Runtime.Heat.Stage.1","BLDG001.HVAC.6.Runtime.Heat.Stage.2","BLDG001.HVAC.6.Zone.Temp","BLDG001.Kitchen.Broiler","BLDG001.Kitchen.Fryer.1","BLDG001.Kitchen.Fryer.2","BLDG001.Kitchen.Grill.or.Griddle","BLDG001.Kitchen.Other","BLDG001.Kitchen.Oven.1","BLDG001.Kitchen.Oven.2","BLDG001.Lights.Mixed.Indoor.Outdoor","BLDG001.Lights.Outdoor.Signs.1","BLDG001.Lights.Outdoor.Signs.2","BLDG001.Main.Load","BLDG001.Main.Load.Non.HVAC","BLDG001.Outdoor.Temp","BLDG001.Refrig.Cooler","BLDG001.Refrig.Cooler.1.Temp","BLDG001.Refrig.Cooler.2.Temp","BLDG001.Refrig.Cooler.3.Temp","BLDG001.Refrig.Freezer","BLDG001.Refrig.Freezer.1.Temp","BLDG001.Refrig.Freezer.2.Temp","BLDG001.Refrig.Mixed","BLDG001.Water.Heater","BLDG001.Water.Heater.1.Temp","BLDG001.Water.Heater.2.Temp","BLDG001.Time"
"39",39,"BLDG001","1/2/2011 14:00",0,30,75,59.2,67.1,NA,NA,NA,0,61.2,NA,18,0,0,0,72.1,2.1,53.3,NA,11,7,0,0,74,1.4,NA,NA,0,0,0,0,73.1,1.2,NA,NA,0,0,0,0,72.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,57.4,52.7,66.1,NA,37.5,NA,NA,NA,5.9,NA,NA,2.1,139.2,NA,39
"40",40,"BLDG001","1/2/2011 15:00",0,70,86,58.2,62.3,NA,NA,NA,0,61.2,NA,19,0,0,0,73.3,0.9,NA,NA,0,0,0,0,75.3,1.3,NA,NA,0,0,0,0,74.3,1.2,NA,NA,0,0,0,0,72.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,0,NA,NA,NA,NA,NA,NA,NA,NA,57,53.4,64.3,NA,38.2,NA,NA,NA,0,NA,NA,1.5,140.6,NA,40
"41",41,"BLDG001","1/2/2011 16:00",0,100,85,57.1,61,NA,NA,NA,0,61,NA,16,0,0,0,71.9,0.9,NA,NA,0,0,0,0,73.8,1.3,NA,NA,0,0,0,0,70.9,1.2,NA,NA,0,0,0,0,69.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,0,NA,NA,NA,NA,NA,NA,NA,NA,53.9,50.5,62,NA,37.4,NA,NA,NA,2,NA,NA,3.5,139.8,NA,41
"42",42,"BLDG001","1/2/2011 17:00",0,100,84,58.3,63.3,NA,NA,NA,0,62.3,NA,16,0,0,0,73.4,0.9,NA,NA,0,0,0,0,75.4,1.3,NA,NA,0,0,0,0,72.3,1.2,NA,NA,0,0,0,0,71.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,0,NA,NA,NA,NA,NA,NA,NA,NA,69.5,65.9,62.3,NA,38.2,NA,NA,NA,1,NA,NA,2.4,141.7,NA,42
"43",43,"BLDG001","1/2/2011 18:00",0,100,86,57.7,61.7,NA,NA,NA,0,59.7,NA,4,0,0,0,72.7,0.9,NA,NA,0,0,0,0,73.7,0.8,NA,NA,0,0,0,0,70.7,1.5,92.6,NA,0,0,5,0,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,0,NA,NA,NA,NA,NA,NA,NA,NA,66.6,63.3,59.7,NA,37.8,NA,NA,NA,1,NA,NA,2.5,139.4,NA,43
"44",44,"BLDG001","1/2/2011 19:00",0,100,93,58.1,60.1,NA,NA,NA,0,62.1,NA,4,0,0,0,73.2,0.9,NA,NA,0,0,0,0,74.2,0.8,NA,NA,0,0,0,0,71.2,1.9,94.2,NA,0,0,8,0,72.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,0,NA,NA,NA,NA,NA,NA,NA,NA,70.9,67.2,58.1,NA,38.1,NA,NA,NA,12,NA,NA,4.2,144.3,NA,44
"45",45,"BLDG001","1/2/2011 20:00",0,30,97,57.1,58.1,NA,NA,NA,0,NA,NA,0,0,0,0,73.1,0.9,NA,NA,0,0,0,0,73.1,0.6,NA,NA,0,0,0,0,70.1,2.3,93.2,NA,0,0,13,0,72.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,0,NA,NA,NA,NA,NA,NA,NA,NA,69,65.1,55.1,NA,38.1,NA,NA,NA,6,NA,NA,2.5,143.2,NA,45
"46",46,"BLDG001","1/2/2011 21:00",0,30,63,41.2,53,NA,NA,NA,0,NA,NA,0,0,0,0,68.7,1,NA,NA,0,0,0,0,70.7,1.3,94.2,NA,0,0,8,4,68.7,2.6,82.4,NA,4,0,18,0,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,36.8,31.9,51,NA,37.3,NA,NA,NA,2,NA,NA,1.6,137.4,NA,46
"47",47,"BLDG001","1/2/2011 22:00",0,70,58,38.6,52.4,NA,NA,NA,0,NA,NA,0,0,0,0,67.3,1,NA,NA,0,0,0,0,69.3,0.6,NA,NA,0,0,0,0,68.3,1.5,85.1,NA,0,0,4,0,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,25.9,22.8,49.5,NA,37.6,NA,NA,NA,3,NA,NA,0.8,137.5,NA,47
"48",48,"BLDG001","1/2/2011 23:00",0,30,61,37.2,50.3,NA,NA,NA,0,NA,NA,0,0,0,0,66.4,1,NA,NA,0,0,0,0,68.4,0.6,NA,NA,0,0,0,0,67.4,1.2,NA,NA,0,0,0,0,63.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,23.2,20.3,48.3,NA,38.2,NA,NA,NA,0,NA,NA,1.3,139.9,NA,48
"49",49,"BLDG001","1/3/2011 0:00",0,30,43,26.6,47.3,NA,NA,NA,0,NA,NA,0,0,0,0,63,1,NA,NA,0,0,0,0,65,0.6,NA,NA,0,0,0,0,64,1.2,NA,NA,0,0,0,0,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20.5,17.6,45.3,NA,37.4,NA,NA,NA,2,NA,NA,0.7,136.9,NA,49
